name,threat_type_id,id,description
(culture de décru et maraichage,1,1,
surpâturage,1,2,
utilisation excessif de l'eau,1,3,
urbanisation,1,4,
exploitation de la nappe phréatiques,1,5,
coupes des arbres,1,6,
élevage,1,7,
braconnage,1,8,
pêche,1,9,
élagage et émondage,1,10,
charbon de bois,1,11,
sédentarisation,1,12,
pêche) En pÃ,1,13,
(Erosion,2,14,
ensablement,2,15,
dunes mobiles,2,16,
destruction des habitats,2,17,
perte de biodiversité,2,18,
envasement…) La principale menace naturelle qui se pose pour la Zone humide de Khathre est l'ensablement et le ravinement. L'ensablement est constaté à l'Es,2,19,
pêche). La p,1,20,
envasement…). Il y'a un risque d'ensablement du cours d'eau dû à l'amenuisement du couvert végétal le bordant et une accentuation de l'érosion.,2,21,
pêche). Séd,1,22,
envasement…). Ensablement en amont de la mare et rupture de la connexion hydrique avec le fleuve qui permettait de recharger la mare.,2,23,
pêche),1,24,
envasement…). Aucune menace naturelle n'a été recueillit,2,25,
pêche). La c,1,26,
envasement…). Attaque de criquet pèlerin par moment,2,27,
pêche). Les,1,28,
envasement…). L'envasement de la mare la mare a était constaté par la population ainsi que la diminution des ressources halieutiques qui sont charriées par les,2,29,
utilisation excessive de l'eau,1,30,
urbanisation exploitation de la nappe phréatique,1,31,
coupe des arbres,1,32,
pêche) :  Les,1,33,
envasement ……) Envasement,2,34,
perte de la biodiversité,2,35,
pêche) :,1,36,
Malg,1,37,
ensablement dunes mobiles,2,38,
perte biodiversité,2,39,
envasement……),2,40,
Aucun risque naturel n'est à déplorer.,2,41,
La c,1,42,
pertes de la biodiversité,2,43,
envasement …) :,2,44,
Perte de biodiversité,2,45,
les arbres sont vieillissants et tombent à cause des vents surtout vers la localité de Toumbé.,2,46,
Coup,1,47,
envasement …):  envasement,2,48,
Le brac,1,49,
pertes de biodiversité,2,50,
envasement …),2,51,
La menace d'ensablement est faible car la zone humide a été curée en 2019 et depuis l'eau est permanente.,2,52,
pêche).  Les Ã,1,53,
Menaces naturelles : (Erosion,2,54,
Il y'a un ensablement autour de la zone humide principalement au niveau des zones agricoles.,2,55,
Il y',1,56,
envasement ……) :,2,57,
Pas de menace,2,58,
Le bra,1,59,
Perte de biodiversité principalement les oiseaux,2,60,
pêche). Le b,1,61,
envasement…),2,62,
Il y avait un problème d'ensablement qui a été stoppé par la fixation biologique à base de Prosopis juliflora depuis des années. Aucun envahi,2,63,
Coupe pour la carbonisation et l'érection de clotures.,1,64,
Aucun probléme n'est à déplorer,2,65,
Sé,1,66,
La mare est en situation d'envasement avancé.,2,67,
Les,1,68,
La mort des Acacia nilotica quand l'eau est restée longtemps sur les pieds en plus de la coupe,2,69,
les cours d'eau qui alimentent mare sont ensevel,2,70,
pêche) -Il y,1,71,
envasement…). Envasement en cours mais pas très important.,2,72,
envasement…). Aucun probléme particulier n'a été souligné.,2,73,
Il y'a un surpaturage au niveau de Gounguel car tous les animaux des localités environnantes jusqu'à tintane viennent y paturer.,1,74,
Le braconnage est une pratique fréquente malgré que la zone humide soit à l'intérieur d'une zone de gestion,1,75,
Il y'a un ensablement du côté ouest de la mare.,2,76,
Les arbres sont élagués pour l'erection de clotures. Il y'a également des activités de braconnage.,1,77,
Pas de problémes d'ensablement mais une perte de biodiversité est constatée.,2,78,
Les arbres sont coupés et élagués. Ils sont également carbonisés. Il y'a un surpaturage au niveau de la mare mais aussi une forte activité de braconnage.,1,79,
Un ensablement est constaté au Nord-Est de la mare accentuée par les coupes abusives,2,80,
la carbonisation et le surpaturage.,2,81,
